word,x,y,cluster
三つ,8.173012,-3.1332343,3
三日,8.098196,-3.0424197,3
上,-4.1261997,7.5283747,4
上げる,-4.0981307,7.560828,4
上着,-4.140812,7.504344,4
下,-0.99338126,-2.7448487,-1
下さる,-0.9580773,-2.7154212,-1
下手,-0.99335134,-2.7613404,-1
両親,3.5227942,17.691225,10
並ぶ,0.93106294,-0.9285943,17
並べる,1.0826116,-0.93182164,17
中,-4.2226048,10.807846,4
乗る,2.8469317,-1.6274978,9
九,-2.324895,-7.569999,15
九つ,-2.2896295,-7.5554385,15
九日,-2.2755651,-7.629797,15
二,-2.686906,-7.2901745,15
二つ,-2.655757,-7.344156,15
二人,-2.7289033,-7.2439237,15
二十日,-2.612999,-7.4284816,15
二十歳,-2.6215975,-7.392551,15
二日,-2.6748085,-7.2979984,15
五,-2.8863947,-6.2129188,15
五つ,-2.8647633,-6.281139,15
五日,-2.8611403,-6.2559156,15
交差点,-0.63401973,-2.037725,-1
交番,1.7239802,-1.5730016,-1
人,5.964846,11.245648,11
今,1.8634963,-9.045025,14
今年,1.7043744,-9.263564,14
今日,1.669281,-9.295606,14
今晩,2.039928,-10.313895,14
今月,0.7025996,-9.745158,14
今朝,2.0390952,-10.300259,14
今週,1.408558,-9.521937,14
仕事,-4.6225843,10.395119,4
休み,0.19727774,-0.8959993,-1
休む,0.23149231,-0.88336736,-1
会う,-4.3575664,10.429057,4
会社,-4.372983,10.41197,4
低い,-1.3823682,0.32553482,19
住む,0.9903398,-0.98965204,17
体,0.12430647,9.193922,6
作る,-4.653431,10.437727,4
作文,1.0327922,11.10369,6
使う,-4.617562,10.315035,4
便利,17.85503,0.17620909,0
借りる,-0.7360716,-1.6344671,16
傘,-2.9140291,-5.601739,-1
働く,-4.774102,10.561634,4
元気,1.7490157,14.929785,5
兄,3.7231634,16.854235,10
兄弟,3.6763544,16.90803,10
先,2.26362,-1.4092594,9
先月,1.2001629,-9.643478,14
先生,2.2730994,-1.416592,9
先週,1.4400995,-9.497935,14
入る,3.5110636,-2.5248497,-1
入れる,3.529403,-2.4936934,-1
入口,3.5541732,-2.5439856,-1
全部,1.6529495,-8.479821,-1
八,0.04477893,-9.890328,14
八つ,0.011991305,-9.874463,14
八日,0.07857424,-9.839493,14
八百屋,0.04862526,-9.845462,14
公園,6.013146,11.539459,11
六,-2.5276558,-6.9149365,15
六つ,-2.565307,-6.879788,15
六日,-2.5516105,-6.8766966,15
写真,1.2618066,11.0709915,6
冬,8.161093,-4.368102,3
冷たい,-1.292181,0.5441423,19
冷蔵庫,3.286335,5.6056337,-1
出かける,3.535244,-2.4983406,-1
出す,3.513927,-2.5260782,-1
出る,3.5235302,-2.5074003,-1
出口,3.580415,-2.4831262,-1
分かる,9.17311,11.943948,13
切る,11.386144,13.177324,2
切手,11.352807,13.203544,2
切符,11.334092,13.159444,2
前,1.8146131,-1.4954876,9
勉強,-4.6724315,10.684407,4
動物,5.8551273,11.15487,11
勤める,-4.721527,10.590724,4
北,9.6299095,12.399545,-1
医者,3.321814,5.5918837,-1
十,-2.4973755,-7.4978356,15
十日,-2.4169266,-7.5661244,15
千,1.6397817,-8.594797,14
午前,1.7645786,-1.4973685,9
午後,1.7571626,-1.4020432,-1
半,9.212693,11.968306,13
半分,9.188858,11.941042,13
南,8.242604,-3.2435029,3
危ない,-11.785357,5.9885073,1
卵,3.5566618,17.961098,10
厚い,-9.233083,3.4818196,7
去年,0.8345454,-9.707026,14
友達,3.6878662,16.87286,10
取る,-0.7305603,-2.0135198,16
口,0.12926254,9.117085,6
古い,0.99401075,-0.9740455,-1
可愛い,-11.5841875,5.38387,1
台所,-4.1576033,7.792341,4
右,8.23909,-3.2066422,3
名前,1.8611319,-1.4926021,9
向こう,2.5556567,-1.4474661,9
吸う,8.847593,12.195521,13
吹く,8.861876,12.161537,13
呼ぶ,8.993126,12.209226,13
咲く,-9.034863,3.698156,7
問題,-4.1151094,10.773611,4
喫茶店,6.4652915,13.420993,12
四,8.151503,-3.188476,3
四つ,8.193838,-3.201163,3
四日,8.158886,-3.1664476,3
困る,3.7791739,4.590899,18
図書館,1.2316736,11.178363,6
国,5.948366,11.458715,11
土曜日,0.16989157,-9.799936,14
在る,1.043818,-0.92800874,17
